X Points,Y Points,Heading,Arc Length,Delta Heading,Delta Arc Length,Curvature,Left Power,Right Power,Left Adjusted Power,Right Adjusted Power
-10930.554000000002,-42715.27200000001,-173.319796538929,39213.050541327146,0.11095012014197891,471.45019571296143,2.35337944815614E-4,0.7055475060071004,0.6944524939928995,0.7744487686835725,0.7855437806977733
-10985.396658000001,-43183.52147400002,-173.21363149307524,39690.41850636081,0.10616504585377129,477.3679650336635,2.2239667013749669E-4,0.7053082522926899,0.69469174770731,0.7757880307456229,0.7864045353310027
-11041.806144000002,-43657.54483200002,-173.11230052435198,40174.04583732571,0.10133096872326064,483.6273309649041,2.0952283346164743E-4,0.705066548436163,0.6949334515638369,0.7771240107195969,0.787257107591923
-11099.804526000002,-44137.68187800003,-173.01582993172846,40664.27397381083,0.09647059262351831,490.2281364851151,1.9678713938214742E-4,0.7048235296311773,0.6951764703688226,0.7784495635213401,0.7880966227836949
-11159.413872000003,-44624.27241600002,-172.9242245719468,41161.44420272206,0.09160535978165285,497.17022891122906,1.842535100749921E-4,0.704580267989084,0.6954197320109159,0.7797581836545416,0.7889187196327098
-11220.656250000004,-45117.65625000003,-172.83746924234362,41665.89766336983,0.08675532960319288,504.4534606477755,1.719788570619227E-4,0.7043377664801568,0.6956622335198431,0.7810440306695798,0.7897195636298935
-11283.553728000003,-45618.17318400003,-172.75553015425683,42177.975353195594,0.0819390880867843,512.0776898257609,1.6001300137603725E-4,0.7040969544043363,0.6959030455956636,0.7823019404787005,0.7904958492873732
-11348.128374000004,-46126.16302200002,-172.67835646796843,42698.01813402755,0.07717368628840404,520.0427808319582,1.483987262834686E-4,0.7038586843144188,0.6961413156855811,0.7835274239514863,0.791244792580324
-11414.402256000003,-46641.96556800003,-172.6058818622057,43226.36673876021,0.07247460576272147,528.3486047326587,1.3717194502561734E-4,0.7036237302881374,0.6963762697118625,0.7847166543846851,0.79196411496096
-11482.397442000003,-47165.92062600002,-172.53802611366564,43763.36177835687,0.06785574854006882,536.9950395966589,1.2636196526328398E-4,0.7033927874270034,0.6966072125729965,0.7858664455256175,0.7926520203796243
-11552.136000000004,-47698.368000000024,-172.47469666467222,44309.34374908016,0.06332944899341442,545.9819707232891,1.1599183194551055E-4,0.7031664724496707,0.6968335275503292,0.7869742218349609,0.7933071667343023
-11623.639998000004,-48239.64749400003,-172.4157901599146,44864.653039863195,0.05890650475762982,555.309290783036,1.0607873078189414E-4,0.7029453252378829,0.697054674762117,0.788037982645656,0.7939286331214219
-11696.931504000004,-48790.09891200003,-172.36119393604562,45429.629939741215,0.05459622386896967,564.97689987802,9.663443563942876E-5,0.7027298111934512,0.6972701888065487,0.7890562617771973,0.7945158841640999
-11772.032586000005,-49350.062058000025,-172.31078745072864,46004.61464527176,0.05040648531698366,574.9847055305436,8.76657845542197E-5,0.7025203242658505,0.6974796757341494,0.7900280840470408,0.795068732578742
-11848.965312000004,-49919.876736000035,-172.26444364041427,46589.947267879536,0.04634381031436874,585.332622607777,7.917517070532913E-5,0.7023171905157184,0.6976828094842815,0.7909529199743286,0.7955873010057655
